BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-857-1201,1,857,1201,2018,"EQR-400 PAS, LLC",400 PARK AVENUE SOUTH,1485150.0,2,1-857-1201
1-858-14,1,858,14,2018,"80 MADISON AVENUE, LL",80 MADISON AVENUE,699700.0,2,1-858-14
1-858-29,1,858,29,2018,35 E. 28TH ST. MANAGE,35 EAST 28 STREET,28000.0,4,1-858-29
1-858-32,1,858,32,2017,41 EAST 28TH ST. APAR,41 EAST 28 STREET,152700.0,2,1-858-32
1-858-32,1,858,32,2018,41 EAST 28TH ST. APAR,41 EAST 28 STREET,129400.0,2,1-858-32
1-858-1001,1,858,1001,2018,JTRE PARK 28 LLC,31 EAST 28 STREET,909150.0,4,1-858-1001
1-858-1002,1,858,1002,2017,THE PARKWOOD CONDOMIN,31 EAST 28 STREET,25376.0,2,1-858-1002
1-858-1002,1,858,1002,2018,THE PARKWOOD CONDOMIN,31 EAST 28 STREET,24997.0,2,1-858-1002
1-858-1102,1,858,1102,2018,HUYS CONDOMINIUM BOAR,404 PARK AVENUE SOUTH,18797.0,2,1-858-1102
1-859-36,1,859,36,2018,MODDC VENTURE LLC,47 EAST 29 STREET,142700.0,4,1-859-36
1-859-48,1,859,48,2018,440 REALTY ASSOCIATES,434 PARK AVENUE SOUTH,1744150.0,4,1-859-48
1-859-81,1,859,81,2018,ZIMAK COMPANY,8 EAST 30 STREET,403500.0,4,1-859-81
1-859-1001,1,859,1001,2018,SKY HOUSE CONDOMINIUM,11 EAST 29 STREET,12440.0,2,1-859-1001
1-859-1201,1,859,1201,2017,TWENTY9TH PARK MADISO,39 EAST 29 STREET,7669.0,2,1-859-1201
1-859-1201,1,859,1201,2018,TWENTY9TH PARK MADISO,39 EAST 29 STREET,11773.0,2,1-859-1201
1-860-1,1,860,1,2018,MANHATTAN PROPERTIES,285 5 AVENUE,2642750.0,4,1-860-1
1-860-15,1,860,15,2017,"WACKY DUCK, LLC",118 MADISON AVENUE,697750.0,2,1-860-15
1-860-15,1,860,15,2018,"WACKY DUCK, LLC",118 MADISON AVENUE,899200.0,2,1-860-15
1-860-27,1,860,27,2018,35 EAST TENANTS CORP.,33 EAST 30 STREET,940800.0,2,1-860-27
1-860-61,1,860,61,2018,"RW NEW YORK, LLC",129 MADISON AVENUE,1572900.0,4,1-860-61
1-860-71,1,860,71,2017,HOTEL CHANDLER LLC,18 EAST 31 STREET,236550.0,4,1-860-71
1-860-71,1,860,71,2018,HOTEL CHANDLER LLC,18 EAST 31 STREET,64700.0,4,1-860-71
1-860-74,1,860,74,2017,HOTEL CHANDLER LLC,12 EAST 31 STREET,1299450.0,4,1-860-74
1-860-74,1,860,74,2018,HOTEL CHANDLER LLC,12 EAST 31 STREET,347350.0,4,1-860-74
1-860-1003,1,860,1003,2018,"43 PARK OWNERS GROUP,",45 EAST 30 STREET,197348.0,4,1-860-1003
1-860-1101,1,860,1101,2017,13 EAST 30TH STREET L,13 EAST 30 STREET,13080.0,2C,1-860-1101
